id,word_en,word_fr,example_en
613,minutes,minutes,"She arrived just a few minutes late."
614,follow,suivre,"Please follow the instructions carefully."
615,trouble,"problème, ennui, déranger","She never complained despite all her trouble."
616,yourself,"vous-même, toi-même","You should believe in yourself more."
617,write,"écrire","She likes to write in the early morning."
618,chance,"chance, occasion, hasard","She never missed a chance to learn."
619,regard,"égard, considération, considérer","She held him in very high regard."
620,filled,"remplit, rempli","The room was filled with warm laughter."
621,trees,arbres,"The old trees lined the road beautifully."
622,presence,"présence","Her presence made everyone feel at ease."
623,merely,"simplement, seulement","She was merely trying to be helpful."
624,secret,secret,"She kept the secret for many years."
625,former,"ancien, précédent","She met her former teacher at the market."
626,mere,"simple, pur","It was a mere misunderstanding."
627,appear,"apparaître, sembler","Things are not always what they appear."
628,struck,"frappa, frappé","She was struck by the beauty of the city."
629,learned,"apprit, appris, érudit","She learned to play the piano as a child."
630,arm,"bras, armer","He offered her his arm as they walked."
631,giving,"donnant, don","Giving to others brings true happiness."
632,happened,"arriva, s'est passé","What exactly happened that evening?"
633,influence,"influence, influencer","She had a great influence on those around her."
634,instead,"à la place, plutôt","She stayed home instead of going out."
635,condition,"condition, état","The old house was in very poor condition."
636,twenty,vingt,"She moved to the city twenty years ago."
637,window,"fenêtre","She sat by the window watching the rain fall."
638,afraid,"effrayé, craintif","She was not afraid of the dark."
639,below,"en dessous, ci-dessous","The valley lay far below them."
640,wrong,"faux, mal, tort","She realised she had taken the wrong road."
641,months,mois,"They had not spoken for several months."
642,silence,silence,"A long silence fell over the room."
643,broken,"cassé, brisé","She found a broken vase on the floor."
644,raised,"éleva, levé","She raised her hand to ask a question."
645,outside,"dehors, extérieur","She preferred to eat outside in summer."
646,getting,"obtenant, devenant","She is getting better every single day."
647,caught,"attrapa, pris","She caught the last train home."
648,simple,"simple, facile","The solution was surprisingly simple."
649,lips,"lèvres","She pressed her lips together and said nothing."
650,figure,"silhouette, chiffre, figure","A tall figure appeared in the doorway."
651,ago,"il y a","She left the city ten years ago."
652,reach,"atteindre, portée","She stretched to reach the highest shelf."
653,easily,facilement,"She solved the problem very easily."
654,noble,"noble, généreux","He was a man of noble character."
655,whatever,"quoi que ce soit, n'importe quoi","Whatever happens, stay calm."
656,thoughts,"pensées","She kept her thoughts to herself."
657,blue,bleu,"She gazed out at the deep blue sea."
658,parts,"parties, régions","She has travelled to many parts of the world."
659,leaving,"partant, quittant","She felt sad about leaving her hometown."
660,agree,"être d'accord, accepter","I completely agree with your point of view."
661,generally,"généralement, en général","She generally wakes up very early."
662,showed,"montra, a montré","She showed great courage under pressure."
663,easy,"facile, aisé","Nothing worthwhile is ever truly easy."
664,ship,"navire, bateau","The ship disappeared over the horizon."
665,action,"action, mesure","The time for action has finally come."
666,stay,"rester, séjour","She decided to stay for one more day."
667,hat,chapeau,"She wore a wide brimmed hat in the sun."
668,moved,"bougea, déménagea, ému","She was deeply moved by his kindness."
669,property,"propriété, bien","She inherited the property from her aunt."
670,fit,"en forme, adapter, convenir","She goes running to keep fit."
671,enemy,ennemi,"He refused to treat anyone as an enemy."
672,grew,"grandit, poussa","She grew up near the sea."
673,afterwards,"après, ensuite","They had dinner and went for a walk afterwards."
674,born,"né","She was born on a cold winter morning."
675,places,"endroits, lieux","She has visited many wonderful places."
676,impossible,impossible,"Nothing is truly impossible if you try."
677,worth,"valeur, qui vaut la peine","The trip was absolutely worth it."
678,arrived,"arriva, est arrivé","She arrived just in time for dinner."
679,occasion,"occasion, événement","It was a very special occasion."
680,remain,"rester, demeurer","Please remain seated until called."
681,please,"s'il vous plaît, plaire","Please pass the salt."
682,green,vert,"She has a beautiful green garden."
683,married,"marié, s'est marié","They have been married for thirty years."
684,third,"troisième, tiers","She finished in third place."
685,mouth,bouche,"She opened her mouth but said nothing."
686,sleep,"sommeil, dormir","She could not sleep that night."
687,period,"période, point, règles","This was a very difficult period in her life."
688,fresh,"frais, nouveau","She opened the window to let in fresh air."
689,faith,"foi, confiance","She never lost faith in a better future."
690,system,"système","A new system was put in place."
691,writing,"écriture, écrivant","She has a passion for writing."
692,boys,"garçons","The boys played football in the street."
693,horses,chevaux,"The horses galloped freely across the field."
694,entirely,"entièrement, tout à fait","She was entirely right about the situation."
695,smile,sourire,"She greeted everyone with a warm smile."
696,goes,"va, se passe","Time goes by very quickly."
697,usual,"habituel, ordinaire","She arrived later than usual."
698,covered,"couvert, recouvert","The ground was covered in fresh snow."
699,appearance,"apparence, arrivée","Her sudden appearance surprised everyone."
700,bound,"lié, destiné, bond","She felt bound by her promise."
701,respect,"respect, respecter","She treats everyone with great respect."
702,quiet,"calme, silencieux","The house was very quiet that morning."
703,beside,"à côté de","She sat beside him during the concert."
704,dinner,"dîner","She cooked a wonderful dinner for everyone."
705,expression,expression,"He had a puzzled expression on his face."
706,stopped,"s'arrêta, a arrêté","She stopped suddenly and looked back."
707,slowly,lentement,"She walked slowly along the narrow path."
708,considerable,"considérable, important","She put in a considerable amount of effort."
709,somewhat,"quelque peu, assez","She felt somewhat better after resting."
710,walk,"marche, promenade, marcher","She went for a long walk by the river."
711,wonder,"émerveillement, se demander","She began to wonder what had happened."
712,greatest,"le plus grand, suprême","She was one of the greatest writers of her time."
713,provide,"fournir, pourvoir","The school aims to provide quality education."
714,perfect,"parfait, perfectionner","She spoke perfect French."
715,court,"cour, tribunal, courtiser","The case was brought before the court."
716,exclaimed,"s'exclama","She exclaimed with delight when she saw the gift."
717,youth,"jeunesse, jeune","She spent her youth travelling the world."
718,cost,"coût, coûter","The renovation cost more than expected."
719,scarcely,"à peine, guère","She had scarcely finished when he arrived."
720,sudden,"soudain, brusque","There was a sudden change in the weather."
721,evil,"mal, mauvais, maléfique","She believed that no one was truly evil."
722,danger,danger,"They were unaware of the danger ahead."
723,main,"principal, essentiel","What is the main point of the story?"
724,battle,"bataille, combattre","It was a long and exhausting battle."
725,wished,"souhaitait, a souhaité","She wished she could turn back time."
726,command,"commandement, ordonner","He spoke with great authority and command."
727,notice,"notice, remarquer","Did you notice anything unusual?"
728,piece,"morceau, pièce","She played a beautiful piece on the piano."
729,political,politique,"She had a keen interest in political affairs."
730,sister,"sœur","Her sister called her every Sunday evening."
731,trying,"essayant, difficile","She kept trying despite all the obstacles."
732,proper,"convenable, vrai, propre","Please behave in a proper manner."
733,started,"commença, a commencé","She started a new job last Monday."
734,considered,"considéra, considéré","She considered all the options carefully."
735,allowed,"permis, autorisé","Photography is not allowed inside."
736,expected,"attendu, prévu","The results were better than expected."
737,joy,joie,"The news brought her great joy."
738,private,"privé, particulier","She preferred to keep her life very private."
739,bright,"brillant, vif, lumineux","She was a bright and curious child."
